InvoiceNo,InvoiceRevenue,InvoiceQuantity
542058,461.64,740
536532,1919.14,1852
541008,72.26,68
542239,103.35,52
538708,365.27,191
545759,806.05,204
545649,119.31,51
546366,106.11,75
542723,127.9,68
546843,592.18,368
545905,197.0,196
544702,284.97,198
547085,124.08,25
549578,834.68,450
550767,301.68,384
556259,591.09,464
553762,414.77,296
553571,132.4,12
550901,257.89,115
550150,59.4,12
554684,182.99,76
561098,558.49,193
557068,13.44,48
557123,164.22,194
559797,267.04,252
556576,134.48,71
559834,239.2,148
561910,498.48,122
558122,348.12,256
559546,909.6,308
560398,1734.58,838
562600,169.1,83
562127,201.77,339
562999,363.33,415
561632,425.32,323
562143,2353.0,1460
566723,233.39,79
567184,954.51,421
567659,194.37,178
566063,170.88,96
563034,314.86,212
565472,385.04,277
564558,410.55,163
566169,185.84,392
564376,335.52,142
571845,296.42,207
569483,390.26,174
570049,432.26,250
573263,3304.03,3917
574830,387.76,790
573695,305.77,59
572106,200.83,137
569333,415.42,116
573112,344.83,357
573131,381.95,106
572932,389.45,173
577024,143.2,92
576593,598.73,281
577609,1757.55,631
575631,166.97,126
578939,168.34,82
578949,294.85,117
579256,247.32,225
576317,134.16,114
576351,208.16,98
574893,149.43,79
576374,6260.9,3154
577822,2000.0,1600
579922,302.28,204
576648,639.16,490
580848,94.4,39
581448,207.6,48
581252,152.58,86
580595,484.1,224
540562,337.39,392
537131,529.4,429
537354,133.07,85
538356,966.62,712
538510,157.92,75
538710,198.95,117
537830,197.8,67
537421,287.54,129
536575,1552.98,858
542128,287.93,223
542390,317.15,116
544177,1820.67,930
546983,795.75,359
546883,223.0,120
544817,344.0,266
549020,282.88,208
545725,162.85,47
546243,310.47,175
555946,184.59,77
551525,439.85,274
554819,10.5,5
549927,3694.36,3300
550838,121.11,60
550290,328.15,161
556230,226.28,58
557489,484.06,211
560853,445.7,248
560888,352.46,138
560736,345.14,190
557277,118.6,48
560036,1147.1,688
559418,579.26,325
559477,305.75,85
561006,469.9,232
559023,737.04,984
562965,666.8,490
558918,107.6,24
557604,653.3,271
558125,1112.32,656
566560,356.6,216
565579,134.9,95
568245,443.79,285
566268,292.24,83
566278,302.15,67
564440,121.25,67
564136,309.24,164
565207,260.49,111
566299,329.44,200
564140,415.17,361
569546,128.63,61
573428,271.26,326
572096,244.55,189
574676,194.15,65
574020,304.68,206
574089,300.1,162
574864,797.86,364
576687,159.13,82
577286,129.14,63
579708,506.96,240
574896,165.76,62
576200,256.76,145
577791,939.89,793
575384,504.53,181
579711,134.84,121
576768,1145.32,460
575586,185.04,108
578286,90.48,312
580156,620.06,146
580287,108.33,37
562890,355.45,272
536618,780.12,600
539091,163.8,50
544447,109.12,62
544915,179.04,90
542192,1028.08,764
539403,224.8,83
541293,394.57,145
541270,155.95,27
538078,374.25,173
536521,4.95,1
537694,158.25,63
539248,133.56,156
541611,528.48,144
543474,495.83,191
544777,726.83,553
546981,152.55,45
548451,541.05,782
548154,465.7,173
549007,304.13,489
542889,241.2,136
545593,102.4,16
550288,167.55,149
550439,458.25,122
549576,476.37,229
552567,77.2,28
551199,373.44,348
554503,337.92,128
551125,348.33,68
552323,239.4,106
551385,390.85,135
554664,76.8,40
555546,228.3,118
562792,105.99,130
560879,64.02,62
558056,229.26,162
561889,519.04,214
562612,226.93,211
556792,150.37,195
557745,497.26,489
560870,375.26,314
562608,3315.07,1905
561455,267.32,212
560718,1682.59,1005
559316,276.6,143
566061,318.4,132
564536,385.78,250
566576,2180.3,977
563982,174.96,104
565806,520.31,319
566199,441.91,217
571225,179.86,98
570792,533.12,328
571441,4050.61,995
569457,117.94,61
570856,674.68,403
574687,157.7,90
576069,164.34,164
578850,223.79,172
577483,334.13,243
577980,202.95,124
575948,107.95,35
577525,161.35,133
580304,863.77,369
580819,312.62,642
580147,713.78,192
539498,290.51,189
540396,969.24,404
537298,153.5,54
539418,135.12,72
540179,481.14,137
540019,413.68,352
541417,262.96,102
542370,318.6,296
536539,487.75,160
540514,406.27,177
541813,424.32,226
536595,349.15,108
540862,202.35,143
541801,91.8,150
543094,331.24,283
546239,185.15,167
546624,422.54,250
549125,206.21,143
544909,1991.26,1814
545186,229.9,114
548351,850.82,502
545722,475.2,96
546301,93.18,66
549123,301.48,308
544035,821.1,190
552978,9341.26,4282
556238,378.7,109
553916,127.59,57
549278,168.46,195
554668,317.6,174
556365,271.04,158
552171,1128.6,228
558552,1948.92,1044
562378,943.07,675
559804,393.31,334
559686,141.98,119
557739,116.28,173
562366,117.48,108
556541,271.6,115
562516,390.0,134
559638,251.68,264
564342,534.31,486
565473,423.5,240
563719,332.04,108
566737,336.31,433
568659,474.41,264
564726,291.43,264
568203,884.9,303
568701,679.03,437
563929,110.96,48
568178,105.06,70
569232,366.78,159
566740,422.04,560
567868,394.72,74
566208,7.65,9
568552,313.6,132
569332,344.0,152
569767,391.78,235
571656,352.41,141
574169,360.83,169
569417,593.79,372
569521,534.1,225
571180,1135.89,326
574393,324.3,174
569253,1071.03,677
569848,726.1,299
570101,264.62,270
574529,190.88,131
571641,205.06,369
572447,402.75,200
572569,200.55,233
571410,151.15,49
573183,307.71,263
575965,342.95,325
579142,283.0,210
580119,187.78,66
578513,1463.64,551
576246,394.82,277
578079,466.18,198
581225,657.12,444
581578,848.55,508
580909,330.28,160
536954,425.0,100
536808,247.8,64
540641,279.3,94
539463,191.46,135
537405,406.69,132
537365,449.95,201
547789,750.37,533
545996,983.16,480
547068,393.0,190
542777,797.77,463
546154,500.0,400
546569,1477.56,511
548807,2298.0,1648
549964,903.67,537
555728,337.01,190
551693,303.61,255
555572,858.93,390
553038,106.6,32
554139,1007.75,401
554711,123.05,40
550276,277.56,68
549966,375.74,406
551141,22.5,6
553899,662.21,235
556104,384.2,284
552816,258.4,156
551836,203.87,241
552846,288.0,73
552817,574.46,276
552577,62.4,30
562670,829.96,603
559354,365.05,219
562377,799.94,506
561355,968.4,216
560856,421.7,431
559660,1080.65,1352
557804,311.52,220
567899,809.82,670
568049,456.42,224
563572,299.46,107
565091,299.25,195
565218,975.54,485
566950,678.18,330
566092,650.42,325
566091,143.8,126
564146,480.0,240
569671,518.8,290
570227,557.62,142
571265,189.14,120
572086,311.16,200
570009,621.71,449
570415,120.3,148
573770,183.2,96
573374,443.21,167
572862,114.74,46
576629,610.28,253
577485,722.69,417
580066,389.87,253
578950,156.34,110
575063,351.59,141
578260,378.9,172
580883,231.74,58
581173,249.85,237
580460,52.09,44
580746,200.45,45
580153,1436.93,1032
580689,328.95,156
554645,52.9,30
536793,170.7,70
537216,569.5,240
541850,244.3,99
541845,158.8,65
541225,234.62,146
538146,402.32,168
539264,310.48,150
541510,203.55,56
538403,324.22,196
538113,289.85,95
538865,91.15,33
541862,265.85,73
536602,163.76,64
543639,93.84,58
543188,1236.73,617
544055,301.6,168
543468,262.85,87
548317,270.26,250
546034,309.64,291
548896,297.28,150
544449,138.83,77
554365,688.06,350
549283,321.65,135
552654,120.58,60
550280,445.81,306
550885,335.0,153
553709,454.34,167
554089,475.19,199
554121,142.65,71
550183,1266.23,800
556066,388.36,382
553088,1147.15,678
552445,667.61,351
551950,361.82,181
557571,2221.84,2668
561030,265.87,149
561860,123.08,168
561054,426.22,174
559548,290.69,771
560807,480.18,308
562584,193.25,81
560537,323.09,248
556571,178.94,106
559509,31.74,20
561859,188.49,525
557961,214.4,92
559887,162.75,97
566010,390.47,448
567424,488.99,299
565644,299.16,156
568144,281.12,228
568146,587.46,410
564378,562.69,344
